|     Galaxy Name | Redshift | STARLIGHT Present Galaxy Mass | STARLIGHT Processed Solar Masses |
|  2MASXJ00234829 | 0.053727 |                     3.068E+10 |                        5.205E+10 |
|  2MASXJ01144386 | 0.045185 |                     2.141E+10 |                        3.859E+10 |
|  2MASXJ02305208 |    0.035 |                     1.955E+09 |                        3.185E+09 |
|  2MASXJ07192718 | 0.067347 |                     8.952E+09 |                        1.414E+10 |
|  2MASXJ08374557 |  0.05201 |                     2.285E+09 |                        3.536E+09 |
|  2MASXJ09591230 |  0.03337 |                     9.096E+08 |                        1.454E+09 |
|  2MASXJ12095669 | 0.031463 |                     6.182E+10 |                        1.202E+11 |
|  2MASXJ15024995 | 0.026138 |                     2.100E+09 |                        3.431E+09 |
|  2MASXJ15393305 | 0.053843 |                     1.061E+11 |                        2.096E+11 |
|  2MASXJ15570268 | 0.030869 |                     3.936E+09 |                        7.676E+09 |
|  2MASXJ16152860 | 0.032753 |                     6.442E+08 |                        7.254E+08 |
|  2MASXJ16301506 | 0.051501 |                     5.264E+10 |                        9.695E+10 |
|  2MASXJ17100856 | 0.042261 |                     1.683E+10 |                        3.200E+10 |
|  2MASXJ18242915 | 0.030321 |                     2.326E+09 |                        4.268E+09 |
|  2MASXJ22415147 | 0.032911 |                     1.410E+10 |                        2.484E+10 |
|  2MASXJ23024668 |     0.04 |                     1.624E+10 |                        3.090E+10 |
|      2MFGC13321 | 0.026145 |                     3.223E+10 |                        6.456E+10 |
|          ARP143 | 0.012951 |                     1.806E+10 |                        3.354E+10 |
|     CGCG008-023 | 0.034506 |                     2.693E+10 |                        4.417E+10 |
|     CGCG207-042 | 0.031592 |                     1.352E+10 |                        2.194E+10 |
|     CGCG229-009 | 0.028313 |                     3.308E+10 |                        5.989E+10 |
|     CGCG229-010 |  0.02902 |                     1.270E+10 |                        2.144E+10 |
|      CGCG476117 | 0.024961 |                     3.993E+10 |                        7.882E+10 |
| GALEXASCJ012052 | 0.034283 |                     6.573E+08 |                        9.664E+08 |
| GALEXASCJ161311 | 0.033064 |                     1.004E+10 |                        1.979E+10 |
| GALEXASCJ234457 | 0.051653 |                     1.083E+10 |                        2.034E+10 |
|          IC0208 | 0.011755 |                     1.071E+10 |                        1.940E+10 |
|          IC0391 |  0.00519 |                     8.022E+09 |                        1.563E+10 |
|          IC0701 | 0.020488 |                     2.611E+10 |                        4.893E+10 |
|          IC0758 | 0.004253 |                     7.264E+08 |                        1.324E+09 |
