GALname GALID Morphology RAgalaxy DECgalaxy z SN Type RASN DECSN Sep Sample Comments
UGC00005 2 SABbc 00:03:05.66 -01:54:49.7 0.024253 2000da II 00:03:06.52 -01:54:41.8 15.1 1 ""
UGC00005 2 SABbc 00:03:05.66 -01:54:49.7 0.024253 2003lq Ia 00:03:04.02 -01:54:45.5 24.9 1 ""
UGC00005 2 SABbc 00:03:05.66 -01:54:49.7 0.024253 2016eob II 00:03:07.12 -01:54:42.0 23.2 1 ""
UGC00139 11 SAB(s)c? 00:14:31.85 -00:44:15.2 0.013219 1998dk Ia 00:14:32.16 -00:44:10.9 6.3 1 ""
UGC00148 12 S? 00:15:51.28 +16:05:23.2 0.014053 2003ld II 00:15:51.85 +16:05:21.6 8.4 1 ""
NGC0214 28 SAB(r)c 00:41:28.03 +25:29:58.0 0.015134 2005db IIn 00:41:26.79 +25:29:51.6 18.0 1 ""
NGC0309 34 SAB(r)c 00:56:42.66 -09:54:49.9 0.018886 1999ge II 00:56:43.76 -09:54:43.0 17.7 1 ""
NGC0523 48 pec 01:25:20.73 +34:01:29.8 0.015871 2001en Ia 01:25:22.90 +34:01:30.5 27.0 1 ""
NGC0716 65 SBa? 01:52:59.68 +12:42:30.5 0.015204 2017fqo II 01:53:01.51 +12:42:46.0 30.9 1 ""
NGC0774 72 S0 01:59:34.73 +14:00:29.5 0.015411 2006ee IIP 01:59:35.40 +14:00:19.6 13.9 1 ""
NGC0776 73 SAB(rs)b 01:59:54.49 +23:38:39.8 0.016415 1999di Ib 01:59:54.86 +23:38:22.7 17.8 1 ""
IC0208 79 SAbc 02:08:27.74 +06:23:41.7 0.011755 2017glq Ia 02:08:28.00 +06:23:16.5 25.4 1 ""
NGC0932 87 SAa 02:27:54.69 +20:19:56.9 0.013603 1992bf Ia-91bg 02:27:55.13 +20:19:45.2 13.2 1 ""
NGC0938 90 E 02:28:33.51 +20:17:01.3 0.013736 2015ab Ia 02:28:32.86 +20:17:07.7 11.2 1 ""
NGC0976 94 SA(rs)c? 02:34:00.02 +20:58:36.4 0.014327 1999dq Ia-91T 02:33:59.68 +20:58:30.4 7.7 1 ""
NGC0991 95 SAB(rs)c 02:35:32.68 -07:09:16.0 0.00511 1984L Ib 02:35:30.54 -07:09:30.3 34.9 1 ""
UGC02134 97 Sb 02:38:51.81 +27:50:50.3 0.015297 2011jf Ibc 02:38:54.61 +27:50:48.7 37.2 1 ""
