        #Name   #Type #redshift #zerror   #zcmb        #dist #dister #hosttype  
  asassn14ha      SNII  0.00502  0.00001  0.005242     29.77   0.91   SAB(s)bc
  asassn14jb      SNII  0.006031 0.000010 0.00659457   31.35   0.28   Scd? edge-on
   iptf13bjx      SNII  0.027863 0.000110 0.0273189      NaN    NaN         --
    ptf09cjq      SNII  0.01900  0.00005  0.019511       NaN    NaN         --
    ptf10bgl      SNII  0.030721 0.00001  0.0302903      NaN    NaN         --
     sn1948b      SNII  0.00015  0.00005  0.000368592  28.67   0.43         --
     sn1970g     SNIIP  0.00080  0.00001  0.000401     29.28   0.03         --
     sn1983k      SNII  0.0043   0.00010  0.00353315   31.31   1.04   SAB(rs)b
     sn1985g      SNII  0.00258  0.00001  0.00181931   32.05   0.36       Sbc:
    sn1992ba     SNIIP  0.00395  0.00002  0.004001     30.41   0.80     SB(r)b
     sn1994n     SNIIP  0.00981  0.00003  0.009164     33.34   0.00         --
    sn1996an     SNIIP  0.00469  0.00001  0.005325     30.95   0.24         --
    sn1999bg      SNII  0.00425  0.00004  0.003915     32.12   0.41  SB(rs)cd:
    sn1999br     SNIIP  0.00320  0.00001  0.002433     31.19   0.40    SB(rs)c
    sn1999em     SNIIP  0.00239  0.00000  0.002745     29.93    NaN         --
    sn1999gi     SNIIP  0.00198  0.00000  0.001509     30.00   0.80         --
    sn1999gn      SNII  0.005224 0.00001  0.00445424   30.63   0.92  SAB(rs)bc
     sn2001x     SNIIP  0.00494  0.00000  0.004374     31.80   0.19    SB(r)bc
    sn2002hh     SNIIP  0.00016  0.00001  0.000377     28.79   0.38         --
     sn2003b     SNIIP  0.00424  0.00001  0.004784     31.03   0.26     SB(s)b
    sn2003gd     SNIIP  0.00219  0.00001  0.002911     29.93   0.40     SA(s)c
    sn2003hg     SNIIP  0.01427  0.00001  0.014994       NaN    NaN     SB(s)a
    sn2004dj     SNIIP  0.00044  0.00001  0.000369     27.55   0.07   SAB(s)cd
    sn2005au      SNII  0.01865  0.00001  0.019330       NaN    NaN         --
    sn2005ay     SNIIP  0.00270  0.00001  0.002167     30.82   0.00         --
    sn2005bp      SNII  0.02765  0.00007  0.028282       NaN    NaN         --    
    sn2005ci  SNII-87A  0.00758  0.00001  0.007158     32.67   0.18     SB(s)b
    sn2005dp      SNII  0.00891  0.00005  0.00841639   32.51   0.35         --
    sn2005lw     SNIIP  0.02572  0.00010  0.025008       NaN    NaN       None
     sn2005z     SNIIP  0.01923  0.00003  0.018596       NaN    NaN         S?
    sn2006be     SNIIP  0.00715  0.00003  0.006709     33.34   0.19         S?
    sn2006ca        II  0.008903 0.000013 0.00888057   32.73   0.23         --
    sn2006ee     SNIIP  0.01541  0.00006  0.016111       NaN    NaN         S0
    sn2007aa     SNIIP  0.00489  0.00001  0.004122     31.93   0.26    SA(s)bc
    sn2007ah        II  0.019170 0.000067 0.0196018      NaN    NaN         --
    sn2007it     SNIIP  0.00398  0.00001  0.003461     30.74   0.56   SA(rs)bc
    sn2007oc     SNIIP  0.00701  0.00001  0.007564     32.02  0.155   SA(rs)d:
    sn2007q         II  0.029050 0.000011 0.0286223      NaN    NaN         --
    sn2008aw     SNIIP  0.01037  0.00001  0.009611       NaN    NaN    SA(s)bc
    sn2008bk     SNIIP  0.00076  0.00001  0.001393     28.17   0.43     SA(s)d
    sn2008fq   SNIIL/n  0.01061  0.00001  0.010935       NaN    NaN    SB(s)bc
    sn2008ij     SNIIP  0.00495  0.00001  0.004961     31.63   0.25    SA(rs)c
    sn2009ib      SNII  0.00435  0.00001  0.004524     30.93   0.31    SB(s)cd
    sn2009kr     SNIIL  0.00647  0.00002  0.006716     31.95   0.50    SB(r)bc
    sn2009ls      SNII  0.00335  0.00001  0.004123     30.22   0.16         --
    sn2009md     SNIIP  0.00436  0.00002  0.003683     31.63   0.15     SA(s)c
     sn2009n     SNIIP  0.00345  0.00001  0.002679     31.49    NaN  SAB(rs)cd
     sn2010f     SNIIP  0.00931  0.00001  0.008782     32.58   0.45  SAB(s)bc:
    sn2011cj     SNIIP  0.00742  0.00002  0.006770     32.52  0.293         S?
    sn2011cl      SNII  0.02500  0.00005  0.0246571      NaN    NaN         --
     sn2012a     SNIIP  0.00251  0.00001  0.001885     29.53    NaN     IB(s)m
    sn2012aw     SNIIP  0.00260  0.00001  0.001927     30.02   0.20     SB(r)b
    sn2012ec      SNII  0.00469  0.00001  0.005325     31.62   0.49     SA(s)c
    sn2013cf      SNII  0.019326 0.00005  0.0189128      NaN    NaN         --
    sn2013ej     SNIIL  0.00219  0.00000  0.002911     29.77   0.28     SA(s)c
    sn2014cy      SNII  0.00555  0.00000  0.006299     32.91   1.68     SA(r)b
    sn2015bs      SNII  0.02352  0.00028  0.027668       NaN    NaN         --
   sn2016aqw      SNII  0.021688 0.00005  0.0211349      NaN    NaN         --
   sn2016bkv        II  0.001975 0.000003 0.0015043    30.43   0.42  SAB(rs)cd
   sn2016esw        II  0.028313 0.000107 0.0283942      NaN    NaN         --
   sn2016gfy        II  0.008059 0.000001 0.0080680    31.46   0.62   SAB(rs)c
