Sn         band Tmax      Mmax   error   ts1            ts2            ts31           ts32           s      error  b      s1     error  s2     error  b1     s3     error  b3     Ttrans    error  Tpt       error     Tend      Mend      error     Ttail     Mtail     error     w0        error     a0        error  max2  error tmax2
asassn14ha   B  56912.00  14.64  0.05    56910.5705645  57021.4203629  57047.3881048  57064.9163306  1.65   0.01   14.86  2.61   0.05   0.81   0.05   14.66  0.87   1.39   20.67  56966.19  1.57   57039.99  0.21      nan       16.99     0.13      nan       20.76     0.14      2.93      0.01      3.86      0.13   nan   nan   nan
asassn14jb   B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan   
iptf13bjx    B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan     
ptf09cjq     B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan   
ptf10bgl     B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan   
sn1948b      B  32741.00  14.48  0.10    32737.483871   32791.6451613  32809.8225806  32917.5887097  2.01   0.17   14.50  nan    nan    2.01   0.17   14.50  0.67   0.09   16.92  nan       nan    32804.72  1.04      nan       15.74     0.08      nan       17.00     0.09      3.76      0.00      1.56      0.08   nan   nan   nan
sn1970g      B  40800.00  11.72  0.30    40797.1774194  40837.4596774  40882.9133065  41062.5504032  4.58   0.14   11.66  5.90   0.37   1.65   0.57   11.53  0.44   0.25   16.15  40819.12  1.39   40866.97  3.82      nan       13.73     0.71      nan       16.18     0.67      5.30      5.02      2.59      0.71   nan   nan   nan
sn1983k      B  45508.15  12.46  0.10    45507.0504032  45585.2943548  45506.2560484  45584.8971774  2.10   0.16   12.56  8.00   14.14  1.44   0.22   12.00  nan    nan    nan    45520.65  15.50  nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn1985g      B  46142.00  15.14  0.10    46139.4193548  46183.2903226  46139.3387097  46179.5806452  2.78   0.40   15.10  nan    nan    2.78   0.40   15.10  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn1992ba     B  48898.50  15.29  0.02    48899.7903226  48985.4959677  49028.1522177  49085.5514113  1.99   0.02   15.61  6.84   0.67   1.46   0.03   15.16  0.48   0.20   19.97  48914.59  1.08   49012.97  0.28      nan       17.45     0.04      nan       19.78     0.05      4.98      0.00      1.80      0.04   nan   nan   nan    
sn1994n      B  49482.00  19.37  0.04    49480.1895161  49488.5302419  49478.0725806  49486.8366935  1.0    1.03   19.34  nan    nan    1.0    1.03   19.34  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan    
sn1996an     B  nan       nan    nan     50355.28125    50478.875      50349.03125    50479.34375    nan    nan    nan    nan    nan    nan    nan    nan    0.54   0.31   18.54  nan       nan    50342.64  7.56      nan       17.54     0.05      nan       18.55     0.27      4.49      2.23      1.43      0.35   nan   nan   nan
sn1999bg     B  51270.00  15.95  0.02    51267.2177419  51351.8467742  51281.8548387  51352.0241935  2.01   0.04   16.18  3.14   0.08   0.95   0.09   15.91  nan    nan    nan    51308.51  1.75   nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan    
